subject,tag,Number of Smells,Smell
AdvBox,d21748164335e7c3758adaafd045f7964cbf4150,4,LongBaseClassList
AdvBox,d261e66c1cad3bbe6f3671cbc2b0da55e8e46d2a,1,LongBaseClassList
AdvBox,d26ab4117814ad00ac2dd3063dc25ce78b98373c,3,LongBaseClassList
AdvBox,d28782362d781423d2c1999ad951514f36455b3b,1,LongBaseClassList
AdvBox,d2e97d658a924f2a1436589b2a6c18b59840eb36,2,LongBaseClassList
AdvBox,d3a9233ff73b3ff66ebccadcbe7ff2e252f9ba14,4,LongBaseClassList
AdvBox,d3c277b314f6fba4e1769356a7d077b5a1718225,2,LongBaseClassList
AdvBox,d3cb31c4b128c846e2edfd5de2e46844937c2719,3,LongBaseClassList
AdvBox,d4a85d794b50d7c42fd39bf6b4f0af65a2bc27aa,2,LongBaseClassList
AdvBox,d54857738db6e3e588d40f7bbf10549d6426dd29,4,LongBaseClassList
AdvBox,d5b8c3ef8e665347ecffcdf30c8f59f449d86e56,1,LongBaseClassList
AdvBox,d5f32f8f074237d4a4d30dea6a7baa08457f502c,4,LongBaseClassList
AdvBox,d71960301c1f275c1b7ccea0233e352fd9a81791,3,LongBaseClassList
AdvBox,d7c447e7944b67f68c8a465ad40b83d0f0736535,1,LongBaseClassList
AdvBox,d801abba4a4ccd70bed583a15c86ead8c80f90c2,1,LongBaseClassList
AdvBox,d8367d6918e95006fa1ec9952842c1cc9d0b69a0,1,LongBaseClassList
AdvBox,d8bcde1964c7f7ad65bacc52eb1baa36497d7827,2,LongBaseClassList
AdvBox,d8da645749018f208b867332a7e48401d9963588,4,LongBaseClassList
AdvBox,d9c0782e6510e0a041e111778aaac5f91436bc8a,4,LongBaseClassList
AdvBox,db2c92ddeb00a4329ae902391d101da895f1f0ad,4,LongBaseClassList
AdvBox,dc0ea031b31e940837c6ac7b3b238d0a6da9bdca,1,LongBaseClassList
AdvBox,dc446fb62512b3fb0286ac25d9c3244ba543b88c,1,LongBaseClassList
AdvBox,dc7545743c6550a7985ff97be0ff0a90f9024101,4,LongBaseClassList
